direction;service;nature;annee;mois;count;
Direction des services techniques;Bâtiment ;Services;2012;avril;1
Direction des services techniques;Sécurité;Services;2012;juillet;1
Direction administrative et financière ;Régie ;Services;2012;octobre;1
Direction des expositions et publications;Service des expositions;Services;2012;octobre;1
Direction administrative et financière ;Achats marchés ;Services;2012;novembre;2
Direction des expositions et publications;Service des expositions;Services;2012;novembre;1
Direction des services techniques;Sécurité;Services;2012;décembre;1
Direction des expositions et publications;Service des expositions;Services;2013;janvier;1
Direction administrative et financière ;Moyens généraux ;Fournitures;2013;mars;1
Direction des collections ;Achats marchés ;Travaux;2013;mars;1
Direction des expositions et publications;Service des expositions;Services;2013;mars;3
